Step 00000 | Validation bpb: 3.211895
step 00000/09841 (0.00%) | loss: 10.812500 | lrm: 0.03 | dt: 29884.55ms | tok/sec: 17,543 | bf16_mfu: 0.80 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00001/09841 (0.01%) | loss: 10.779605 | lrm: 0.05 | dt: 460.81ms | tok/sec: 1,137,754 | bf16_mfu: 52.00 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00002/09841 (0.02%) | loss: 10.745618 | lrm: 0.07 | dt: 437.20ms | tok/sec: 1,199,188 | bf16_mfu: 54.81 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00003/09841 (0.03%) | loss: 10.710544 | lrm: 0.10 | dt: 446.24ms | tok/sec: 1,174,898 | bf16_mfu: 53.70 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00004/09841 (0.04%) | loss: 10.643869 | lrm: 0.12 | dt: 436.01ms | tok/sec: 1,202,454 | bf16_mfu: 54.96 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00005/09841 (0.05%) | loss: 10.546470 | lrm: 0.15 | dt: 447.48ms | tok/sec: 1,171,650 | bf16_mfu: 53.55 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00006/09841 (0.06%) | loss: 10.393803 | lrm: 0.17 | dt: 439.50ms | tok/sec: 1,192,931 | bf16_mfu: 54.52 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00007/09841 (0.07%) | loss: 10.149076 | lrm: 0.20 | dt: 444.14ms | tok/sec: 1,180,467 | bf16_mfu: 53.95 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00008/09841 (0.08%) | loss: 9.798252 | lrm: 0.23 | dt: 442.30ms | tok/sec: 1,185,364 | bf16_mfu: 54.17 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00009/09841 (0.09%) | loss: 9.522159 | lrm: 0.25 | dt: 438.86ms | tok/sec: 1,194,651 | bf16_mfu: 54.60 | epoch: 1 pq: 0 rg: 16 | total time: 0.00m
step 00010/09841 (0.10%) | loss: 9.254790 | lrm: 0.28 | dt: 442.08ms | tok/sec: 1,185,966 | bf16_mfu: 54.20 | epoch: 1 pq: 0 rg: 16 | total time: 0.00m
step 00011/09841 (0.11%) | loss: 8.979759 | lrm: 0.30 | dt: 439.65ms | tok/sec: 1,192,507 | bf16_mfu: 54.50 | epoch: 1 pq: 0 rg: 16 | total time: 0.01m | eta: 72.0m
step 00012/09841 (0.12%) | loss: 8.735260 | lrm: 0.33 | dt: 441.13ms | tok/sec: 1,188,520 | bf16_mfu: 54.32 | epoch: 1 pq: 0 rg: 16 | total time: 0.01m | eta: 72.1m
step 00013/09841 (0.13%) | loss: 8.518365 | lrm: 0.35 | dt: 439.41ms | tok/sec: 1,193,173 | bf16_mfu: 54.53 | epoch: 1 pq: 0 rg: 16 | total time: 0.02m | eta: 72.1m
step 00014/09841 (0.14%) | loss: 8.303550 | lrm: 0.38 | dt: 442.93ms | tok/sec: 1,183,686 | bf16_mfu: 54.10 | epoch: 1 pq: 0 rg: 16 | total time: 0.03m | eta: 72.2m
step 00015/09841 (0.15%) | loss: 8.109024 | lrm: 0.40 | dt: 442.98ms | tok/sec: 1,183,545 | bf16_mfu: 54.09 | epoch: 1 pq: 0 rg: 16 | total time: 0.04m | eta: 72.3m
step 00016/09841 (0.16%) | loss: 7.934669 | lrm: 0.42 | dt: 443.44ms | tok/sec: 1,182,314 | bf16_mfu: 54.04 | epoch: 1 pq: 0 rg: 16 | total time: 0.04m | eta: 72.3m
step 00017/09841 (0.17%) | loss: 7.754835 | lrm: 0.45 | dt: 444.32ms | tok/sec: 1,179,983 | bf16_mfu: 53.93 | epoch: 1 pq: 0 rg: 24 | total time: 0.05m | eta: 72.4m
step 00018/09841 (0.18%) | loss: 7.606140 | lrm: 0.47 | dt: 442.20ms | tok/sec: 1,185,646 | bf16_mfu: 54.19 | epoch: 1 pq: 0 rg: 24 | total time: 0.06m | eta: 72.4m
step 00019/09841 (0.19%) | loss: 7.462429 | lrm: 0.50 | dt: 443.92ms | tok/sec: 1,181,046 | bf16_mfu: 53.98 | epoch: 1 pq: 0 rg: 24 | total time: 0.07m | eta: 72.4m
step 00020/09841 (0.20%) | loss: 7.329799 | lrm: 0.53 | dt: 444.11ms | tok/sec: 1,180,539 | bf16_mfu: 53.95 | epoch: 1 pq: 0 rg: 24 | total time: 0.07m | eta: 72.4m
step 00021/09841 (0.21%) | loss: 7.196159 | lrm: 0.55 | dt: 445.66ms | tok/sec: 1,176,418 | bf16_mfu: 53.77 | epoch: 1 pq: 0 rg: 24 | total time: 0.08m | eta: 72.5m
step 00022/09841 (0.22%) | loss: 7.088913 | lrm: 0.57 | dt: 444.90ms | tok/sec: 1,178,443 | bf16_mfu: 53.86 | epoch: 1 pq: 0 rg: 24 | total time: 0.09m | eta: 72.5m
step 00023/09841 (0.23%) | loss: 6.990958 | lrm: 0.60 | dt: 443.73ms | tok/sec: 1,181,541 | bf16_mfu: 54.00 | epoch: 1 pq: 0 rg: 24 | total time: 0.10m | eta: 72.5m
step 00024/09841 (0.24%) | loss: 6.897665 | lrm: 0.62 | dt: 440.02ms | tok/sec: 1,191,508 | bf16_mfu: 54.46 | epoch: 1 pq: 0 rg: 24 | total time: 0.10m | eta: 72.4m
step 00025/09841 (0.25%) | loss: 6.805038 | lrm: 0.65 | dt: 442.48ms | tok/sec: 1,184,884 | bf16_mfu: 54.15 | epoch: 1 pq: 0 rg: 32 | total time: 0.11m | eta: 72.4m
step 00026/09841 (0.26%) | loss: 6.726200 | lrm: 0.68 | dt: 442.32ms | tok/sec: 1,185,314 | bf16_mfu: 54.17 | epoch: 1 pq: 0 rg: 32 | total time: 0.12m | eta: 72.4m
step 00027/09841 (0.27%) | loss: 6.652867 | lrm: 0.70 | dt: 443.27ms | tok/sec: 1,182,764 | bf16_mfu: 54.06 | epoch: 1 pq: 0 rg: 32 | total time: 0.13m | eta: 72.4m
step 00028/09841 (0.28%) | loss: 6.577795 | lrm: 0.72 | dt: 446.00ms | tok/sec: 1,175,535 | bf16_mfu: 53.73 | epoch: 1 pq: 0 rg: 32 | total time: 0.13m | eta: 72.4m
step 00029/09841 (0.29%) | loss: 6.514194 | lrm: 0.75 | dt: 443.16ms | tok/sec: 1,183,068 | bf16_mfu: 54.07 | epoch: 1 pq: 0 rg: 32 | total time: 0.14m | eta: 72.4m
step 00030/09841 (0.30%) | loss: 6.457486 | lrm: 0.78 | dt: 442.81ms | tok/sec: 1,183,996 | bf16_mfu: 54.11 | epoch: 1 pq: 0 rg: 32 | total time: 0.15m | eta: 72.4m
step 00031/09841 (0.32%) | loss: 6.403638 | lrm: 0.80 | dt: 444.27ms | tok/sec: 1,180,112 | bf16_mfu: 53.93 | epoch: 1 pq: 0 rg: 32 | total time: 0.16m | eta: 72.4m
step 00032/09841 (0.33%) | loss: 6.352314 | lrm: 0.82 | dt: 442.53ms | tok/sec: 1,184,760 | bf16_mfu: 54.15 | epoch: 1 pq: 0 rg: 32 | total time: 0.16m | eta: 72.4m
step 00033/09841 (0.34%) | loss: 6.303217 | lrm: 0.85 | dt: 443.58ms | tok/sec: 1,181,943 | bf16_mfu: 54.02 | epoch: 1 pq: 0 rg: 40 | total time: 0.17m | eta: 72.4m
step 00034/09841 (0.35%) | loss: 6.262501 | lrm: 0.88 | dt: 444.76ms | tok/sec: 1,178,805 | bf16_mfu: 53.87 | epoch: 1 pq: 0 rg: 40 | total time: 0.18m | eta: 72.4m
step 00035/09841 (0.36%) | loss: 6.226055 | lrm: 0.90 | dt: 443.68ms | tok/sec: 1,181,668 | bf16_mfu: 54.01 | epoch: 1 pq: 0 rg: 40 | total time: 0.18m | eta: 72.4m
step 00036/09841 (0.37%) | loss: 6.190223 | lrm: 0.93 | dt: 442.41ms | tok/sec: 1,185,083 | bf16_mfu: 54.16 | epoch: 1 pq: 0 rg: 40 | total time: 0.19m | eta: 72.4m
step 00037/09841 (0.38%) | loss: 6.145382 | lrm: 0.95 | dt: 442.32ms | tok/sec: 1,185,318 | bf16_mfu: 54.17 | epoch: 1 pq: 0 rg: 40 | total time: 0.20m | eta: 72.4m
step 00038/09841 (0.39%) | loss: 6.114715 | lrm: 0.97 | dt: 442.33ms | tok/sec: 1,185,289 | bf16_mfu: 54.17 | epoch: 1 pq: 0 rg: 40 | total time: 0.21m | eta: 72.4m
step 00039/09841 (0.40%) | loss: 6.077697 | lrm: 1.00 | dt: 444.54ms | tok/sec: 1,179,396 | bf16_mfu: 53.90 | epoch: 1 pq: 0 rg: 40 | total time: 0.21m | eta: 72.4m
step 00040/09841 (0.41%) | loss: 6.057154 | lrm: 1.00 | dt: 446.02ms | tok/sec: 1,175,476 | bf16_mfu: 53.72 | epoch: 1 pq: 0 rg: 48 | total time: 0.22m | eta: 72.4m
step 00041/09841 (0.42%) | loss: 6.026066 | lrm: 1.00 | dt: 444.21ms | tok/sec: 1,180,273 | bf16_mfu: 53.94 | epoch: 1 pq: 0 rg: 48 | total time: 0.23m | eta: 72.4m
step 00042/09841 (0.43%) | loss: 5.991841 | lrm: 1.00 | dt: 443.95ms | tok/sec: 1,180,951 | bf16_mfu: 53.97 | epoch: 1 pq: 0 rg: 48 | total time: 0.24m | eta: 72.4m
step 00043/09841 (0.44%) | loss: 5.967420 | lrm: 1.00 | dt: 448.05ms | tok/sec: 1,170,146 | bf16_mfu: 53.48 | epoch: 1 pq: 0 rg: 48 | total time: 0.24m | eta: 72.4m
step 00044/09841 (0.45%) | loss: 5.942334 | lrm: 1.00 | dt: 444.38ms | tok/sec: 1,179,827 | bf16_mfu: 53.92 | epoch: 1 pq: 0 rg: 48 | total time: 0.25m | eta: 72.4m
step 00045/09841 (0.46%) | loss: 5.904050 | lrm: 1.00 | dt: 440.61ms | tok/sec: 1,189,925 | bf16_mfu: 54.38 | epoch: 1 pq: 0 rg: 48 | total time: 0.26m | eta: 72.4m
step 00046/09841 (0.47%) | loss: 5.875946 | lrm: 1.00 | dt: 446.89ms | tok/sec: 1,173,195 | bf16_mfu: 53.62 | epoch: 1 pq: 0 rg: 48 | total time: 0.27m | eta: 72.4m
step 00047/09841 (0.48%) | loss: 5.853836 | lrm: 1.00 | dt: 443.56ms | tok/sec: 1,182,013 | bf16_mfu: 54.02 | epoch: 1 pq: 0 rg: 48 | total time: 0.27m | eta: 72.4m
step 00048/09841 (0.49%) | loss: 5.833963 | lrm: 1.00 | dt: 446.33ms | tok/sec: 1,174,658 | bf16_mfu: 53.69 | epoch: 1 pq: 0 rg: 56 | total time: 0.28m | eta: 72.4m
step 00049/09841 (0.50%) | loss: 5.803535 | lrm: 1.00 | dt: 444.09ms | tok/sec: 1,180,577 | bf16_mfu: 53.96 | epoch: 1 pq: 0 rg: 56 | total time: 0.29m | eta: 72.4m
step 00050/09841 (0.51%) | loss: 5.782459 | lrm: 1.00 | dt: 445.04ms | tok/sec: 1,178,075 | bf16_mfu: 53.84 | epoch: 1 pq: 0 rg: 56 | total time: 0.30m | eta: 72.4m
step 00051/09841 (0.52%) | loss: 5.757233 | lrm: 1.00 | dt: 447.88ms | tok/sec: 1,170,592 | bf16_mfu: 53.50 | epoch: 1 pq: 0 rg: 56 | total time: 0.30m | eta: 72.4m
step 00052/09841 (0.53%) | loss: 5.731412 | lrm: 1.00 | dt: 442.22ms | tok/sec: 1,185,576 | bf16_mfu: 54.18 | epoch: 1 pq: 0 rg: 56 | total time: 0.31m | eta: 72.4m
step 00053/09841 (0.54%) | loss: 5.705057 | lrm: 1.00 | dt: 443.95ms | tok/sec: 1,180,949 | bf16_mfu: 53.97 | epoch: 1 pq: 0 rg: 56 | total time: 0.32m | eta: 72.4m
step 00054/09841 (0.55%) | loss: 5.681354 | lrm: 1.00 | dt: 444.49ms | tok/sec: 1,179,534 | bf16_mfu: 53.91 | epoch: 1 pq: 0 rg: 56 | total time: 0.33m | eta: 72.4m
step 00055/09841 (0.56%) | loss: 5.641234 | lrm: 1.00 | dt: 443.15ms | tok/sec: 1,183,102 | bf16_mfu: 54.07 | epoch: 1 pq: 0 rg: 64 | total time: 0.33m | eta: 72.4m
step 00056/09841 (0.57%) | loss: 5.630208 | lrm: 1.00 | dt: 445.59ms | tok/sec: 1,176,627 | bf16_mfu: 53.78 | epoch: 1 pq: 0 rg: 64 | total time: 0.34m | eta: 72.4m
step 00057/09841 (0.58%) | loss: 5.607763 | lrm: 1.00 | dt: 444.92ms | tok/sec: 1,178,400 | bf16_mfu: 53.86 | epoch: 1 pq: 0 rg: 64 | total time: 0.35m | eta: 72.4m
step 00058/09841 (0.59%) | loss: 5.587571 | lrm: 1.00 | dt: 443.59ms | tok/sec: 1,181,928 | bf16_mfu: 54.02 | epoch: 1 pq: 0 rg: 64 | total time: 0.35m | eta: 72.3m
step 00059/09841 (0.60%) | loss: 5.563145 | lrm: 1.00 | dt: 444.50ms | tok/sec: 1,179,491 | bf16_mfu: 53.91 | epoch: 1 pq: 0 rg: 64 | total time: 0.36m | eta: 72.3m
step 00060/09841 (0.61%) | loss: 5.525520 | lrm: 1.00 | dt: 445.53ms | tok/sec: 1,176,770 | bf16_mfu: 53.78 | epoch: 1 pq: 0 rg: 64 | total time: 0.37m | eta: 72.3m
step 00061/09841 (0.62%) | loss: 5.491669 | lrm: 1.00 | dt: 444.90ms | tok/sec: 1,178,447 | bf16_mfu: 53.86 | epoch: 1 pq: 0 rg: 64 | total time: 0.38m | eta: 72.3m
step 00062/09841 (0.63%) | loss: 5.470599 | lrm: 1.00 | dt: 442.87ms | tok/sec: 1,183,836 | bf16_mfu: 54.10 | epoch: 1 pq: 0 rg: 64 | total time: 0.38m | eta: 72.3m
step 00063/09841 (0.64%) | loss: 5.445384 | lrm: 1.00 | dt: 444.27ms | tok/sec: 1,180,106 | bf16_mfu: 53.93 | epoch: 1 pq: 0 rg: 72 | total time: 0.39m | eta: 72.3m
step 00064/09841 (0.65%) | loss: 5.425825 | lrm: 1.00 | dt: 443.80ms | tok/sec: 1,181,361 | bf16_mfu: 53.99 | epoch: 1 pq: 0 rg: 72 | total time: 0.40m | eta: 72.3m
step 00065/09841 (0.66%) | loss: 5.411354 | lrm: 1.00 | dt: 446.87ms | tok/sec: 1,173,236 | bf16_mfu: 53.62 | epoch: 1 pq: 0 rg: 72 | total time: 0.41m | eta: 72.3m
